Reg	Reg_correct	Operator	Operator_correct
NULL	NULL	ACI601P	SB601
NULL	NULL	ACP2612	GTI2612
NULL	NULL	ACP2623	GTI2623
NULL	NULL	ACP2625	GTI2625
NULL	NULL	ACP2627	GTI2627
NULL	NULL	ACP4293	GTI4293
NULL	NULL	ADN32T	GCR32T
NULL	NULL	ADN33T	GCR32T
NULL	NULL	ADN51F	UVS1
NULL	NULL	ADN52F	UVS1
NULL	NULL	ADN55F	INR1
NULL	NULL	ADN56F	INR1
NULL	NULL	ADN57F	UVS1
NULL	NULL	ADR11A	JP7174
NULL	NULL	ADR13T	JP7173
NULL	NULL	ADR14P	JP114
NULL	NULL	ADR15B	JP7175
NULL	NULL	ADR16T	JP7176
NULL	NULL	ADR18T	JP7178
NULL	NULL	ADR29T	JP129
NULL	NULL	ADR31Z	JP310
NULL	NULL	ADR33Z	JP306
NULL	NULL	ADR34A	JP434
NULL	NULL	ADR37A	JP7137
NULL	NULL	ADR37B	JP376
NULL	NULL	ADR37L	JP377
NULL	NULL	ADR37Z	JP307
NULL	NULL	ADR3LM	JP103
NULL	NULL	ADR431	ABR431
NULL	NULL	ADR49A	JP499
NULL	NULL	ADR51C	JP510
NULL	NULL	ADR52M	JP152
NULL	NULL	ADR65E	JP7165
NULL	NULL	ADR67E	JP7167
NULL	NULL	ADR6K	JP116
NULL	NULL	ADR79F	JP794
NULL	NULL	ADR79T	JP793
NULL	NULL	ADR7K	JP117
NULL	NULL	ADR7L	JP701
NULL	NULL	ADR83P	JP839
NULL	NULL	ADR8P	JP838
NULL	NULL	ADR93V	JP7193
NULL	NULL	ADR9L	JP109
NULL	NULL	AEA006	AEA6
NULL	NULL	AEA007	AEA7
NULL	NULL	AEA1043	AEA1091
NULL	NULL	AEA1065	AEA1066
NULL	NULL	AEA1066	AEA874
NULL	NULL	AEA1503	AEA1065
NULL	NULL	AEA1516	AEA968
NULL	NULL	AEA1671	AEA1061
NULL	NULL	AEA1672	AEA1506
NULL	NULL	AEA1676	AEA1502
NULL	NULL	AEE10A	A3510
NULL	NULL	AEE1K	A3314
NULL	NULL	AEE1MS	A3425
NULL	NULL	AEE1PN	A3607
NULL	NULL	AEE1R	A3103
NULL	NULL	AEE1TS	A3114
NULL	NULL	AEE2	AEE8SE
NULL	NULL	AEE2BL	A3682
NULL	NULL	AEE2BR	A3620
NULL	NULL	AEE2F	A3632
NULL	NULL	AEE2FL	A3608
NULL	NULL	AEE2LS	A3429
NULL	NULL	AEE2TL	A3428
NULL	NULL	AEE32H	A3322
NULL	NULL	AEE3ER	A3328
NULL	NULL	AEE3FR	A3430
NULL	NULL	AEE3JT	A3359
NULL	NULL	AEE3MC	A3432
NULL	NULL	AEE3SA	A3502
NULL	NULL	AEE4080	AEE6181
NULL	NULL	AEE417	AEE467
NULL	NULL	AEE420	AEE421
NULL	NULL	AEE4201	AEE4202
NULL	NULL	AEE424	AEE425
NULL	NULL	AEE451	AEE421
NULL	NULL	AEE466	AEE467
NULL	NULL	AEE480	AEE481
NULL	NULL	AEE4FA	A3431
NULL	NULL	AEE4HR	A3443
NULL	NULL	AEE4IE	A3449
NULL	NULL	AEE4K	A3128
NULL	NULL	AEE4MR	A3424
NULL	NULL	AEE4RZ	A3442
NULL	NULL	AEE4TS	A3541
NULL	NULL	AEE51A	A3511
NULL	NULL	AEE52R	A3905
NULL	NULL	AEE5CD	A3452
NULL	NULL	AEE5CM	A3500
NULL	NULL	AEE5CO	A3651
NULL	NULL	AEE5DG	A3453
NULL	NULL	AEE5RX	A3655
NULL	NULL	AEE5SR	A3355
NULL	NULL	AEE5WG	A3205
NULL	NULL	AEE60L	A3600
NULL	NULL	AEE61CG	A3610
NULL	NULL	AEE626	AEE627
NULL	NULL	AEE634	AEE466
NULL	NULL	AEE65R	A3654
NULL	NULL	AEE67M	A3664
NULL	NULL	AEE6DO	A3456
NULL	NULL	AEE6LL	A3416
NULL	NULL	AEE6LW	A3606
NULL	NULL	AEE6LY	A3632
NULL	NULL	AEE6MP	A3660
NULL	NULL	AEE6TH	A3622
NULL	NULL	AEE750	AEE751
NULL	NULL	AEE752	AEE753
NULL	NULL	AEE755	AEE751
NULL	NULL	AEE78K	A3688
NULL	NULL	AEE7CE	A3671
NULL	NULL	AEE7DH	A3457
NULL	NULL	AEE7PR	A3475
NULL	NULL	AEE7RG	A3474
NULL	NULL	AEE7VC	A3670
NULL	NULL	AEE7XP	A3215
NULL	NULL	AEE8BN	A3680
NULL	NULL	AEE8RD	A3218
NULL	NULL	AEE8SE	A3603
NULL	NULL	AEE9PK	A3880
NULL	NULL	AF001CH	AFR6BU
NULL	NULL	AF001TM	AF6001
NULL	NULL	AF001YM	AF6001
NULL	NULL	AF002CS	AF6002
NULL	NULL	AF002HK	AFR2HK
NULL	NULL	AF003BL	AFR513X
NULL	NULL	AF003UL	AF3832
NULL	NULL	AF003WG	AFR8XZ
NULL	NULL	AF004ZA	AFR4ZA
NULL	NULL	AF006BU	AFR6BU
NULL	NULL	AF006FT	AF6006
NULL	NULL	AF007WY	AFR10VC
NULL	NULL	AF008JS	AF6008
NULL	NULL	AF008VT	AF6008
NULL	NULL	AF008XZ	AFR8XZ
NULL	NULL	AF009TM	AF6009
NULL	NULL	AF009UL	AF6009
NULL	NULL	AF009YN	AFR601T
NULL	NULL	AF010JS	AFR10J
NULL	NULL	AF010VC	AF6013
NULL	NULL	AF010ZT	AFR10Z
NULL	NULL	AF011BL	AFR11B
NULL	NULL	AF011UL	AF6011
NULL	NULL	AF013YB	AF6013
NULL	NULL	AF013YM	AF7569
NULL	NULL	AF014CS	AF6014
NULL	NULL	AF014ZB	AFR205F
NULL	NULL	AF014ZT	AF6014
NULL	NULL	AF015BL	AF7513
NULL	NULL	AF015UA	AF4007
NULL	NULL	AF015YM	AF6015
NULL	NULL	AF016JP	AF6016
NULL	NULL	AF016YE	AFR16YE
NULL	NULL	AF017GP	AF6226
NULL	NULL	AF018FT	AFR18FT
NULL	NULL	AF018NO	AFR18NO
NULL	NULL	AF019BL	AF6019
NULL	NULL	AF020JS	AFR20JS
NULL	NULL	AF020WN	AFR20WN
NULL	NULL	AF022ZN	AF6022
NULL	NULL	AF023UL	AFR23UL
NULL	NULL	AF023YM	AF6023
NULL	NULL	AF025AB	AF6025
NULL	NULL	AF026FT	AFR26F
NULL	NULL	AF026XR	AFR26XR
NULL	NULL	AF026ZT	AFR26ZT
NULL	NULL	AF027SF	AF6027
NULL	NULL	AF027YM	AF6027
NULL	NULL	AF028CS	AF6028
NULL	NULL	AF032FT	AFR32F
NULL	NULL	AF033BL	AF6033
NULL	NULL	AF036JS	AFR36JS
NULL	NULL	AF036ZT	AF6036
NULL	NULL	AF037TM	AF6037
